"seed","storey","area","ratio","height","azimuth","shell_wall","abs_wall","shell_roof","abs_roof","wwr_liv","wwr_dorm","u_window","shgc","open_factor","blind","balcony","facade","mirror","dbt","phft","cgtt"
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,23.62342466,75.5593607305936,23.8232697388629
3,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,23.62342466,63.5266362252664,40.6963458278002
1,2,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,23.62342466,65.7199391171994,31.1475924595274
1,1,146.8203125,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,23.62342466,77.0296803652968,18.8856687699729
