"","uh_name","ph_inf","ph_sup","phft","t_max","t_min","cgtr_cooling","cgtr_heating","geometria","azimute","veneziana","componente","absortancia","vidro","open_fac","sombreamento","paf","solo","case","estado","floor","uh_expo","uh_position","ph_inf_ref","ph_sup_ref","phft_ref","t_max_ref","t_min_ref","cgtr_cooling_ref","cgtr_heating_ref"
"12","CO_CANTO_11_10_TO",0,0.199611872146119,0.800388127853881,31.571240047562,21.2673900007018,4638535616.41641,0,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_fs87.txt","afn_openingfactor100.txt","m_shade_120_geom_0_0_0.txt","m_fenes_17_geom_0_0_0.txt","g",10,"TO","CO","CANTO","11",0,0.728264840182648,0.271735159817352,36.23219743107,23.8952644636311,24449922367.6842,7.07223080098629e-08
"13","CO_CANTO_11_11_PR",0.203127853881278,0.00159817351598174,0.79527397260274,26.6967847227137,13.8922189561458,31939346.4690582,1402176314.18193,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_fs87.txt","afn_openingfactor100.txt","m_shade_120_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",11,"PR","CO","CANTO","11",0.190593607305936,0.0590410958904111,0.750365296803653,30.8498777765224,12.8838626138435,1699000841.78054,0
"14","CO_CANTO_11_11_RJ",0.000730593607305937,0.159269406392694,0.84,31.8342621911132,17.6994683928387,3617733763.0674,2758772.55437939,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_fs87.txt","afn_openingfactor100.txt","m_shade_120_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",11,"RJ","CO","CANTO","11",0,0.487191780821918,0.512808219178082,35.8952773242393,18.0533843086552,15112319844.3056,0
"15","CO_CANTO_11_11_SC",0.0558219178082192,0.0442009132420092,0.899977168949772,29.0534833156657,13.4459272993962,904408307.405766,372712520.391869,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_fs87.txt","afn_openingfactor100.txt","m_shade_120_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",11,"SC","CO","CANTO","11",0.0615296803652968,0.248196347031963,0.69027397260274,32.3229933052659,12.7149643438659,6551854257.96882,5.58793544769287e-08
"16","CO_CANTO_11_11_TO",0,0.187123287671233,0.812876712328767,31.8885767555878,20.2050974798027,4788548776.19193,0,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_fs87.txt","afn_openingfactor100.txt","m_shade_120_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",11,"TO","CO","CANTO","11",0,0.728264840182648,0.271735159817352,36.23219743107,23.8952644636311,24449922367.6842,7.07223080098629e-08
"17","CO_CANTO_11_12_PR",0.243287671232877,0,0.756712328767123,25.9205357432273,13.8535091046554,0,1604438300.91968,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_double-fs39-87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_fenes_17_geom_0_0_0.txt","g",12,"PR","CO","CANTO","11",0.190593607305936,0.0590410958904111,0.750365296803653,30.8498777765224,12.8838626138435,1699000841.78054,0
"18","CO_CANTO_11_12_RJ",0.000365296803652967,0.195502283105023,0.804132420091324,31.3434003234769,17.7888467807506,3704265674.72255,1659412.42279545,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_double-fs39-87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_fenes_17_geom_0_0_0.txt","g",12,"RJ","CO","CANTO","11",0,0.487191780821918,0.512808219178082,35.8952773242393,18.0533843086552,15112319844.3056,0
"19","CO_CANTO_11_12_SC",0.0684474885844749,0.0367123287671233,0.894840182648402,28.7612273440457,13.5229527956182,648569596.034426,444412682.645132,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_double-fs39-87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_fenes_17_geom_0_0_0.txt","g",12,"SC","CO","CANTO","11",0.0615296803652968,0.248196347031963,0.69027397260274,32.3229933052659,12.7149643438659,6551854257.96882,5.58793544769287e-08
"20","CO_CANTO_11_12_TO",0,0.186278538812785,0.813721461187215,31.30813624741,21.1734183370568,4233639093.4499,0,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_double-fs39-87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_fenes_17_geom_0_0_0.txt","g",12,"TO","CO","CANTO","11",0,0.728264840182648,0.271735159817352,36.23219743107,23.8952644636311,24449922367.6842,7.07223080098629e-08
"21","CO_CANTO_11_13_PR",0.214132420091324,0.000684931506849317,0.785182648401827,26.3397310874533,13.9837455965008,12535953.9983405,1368691442.0612,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_double-fs39-87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",13,"PR","CO","CANTO","11",0.190593607305936,0.0590410958904111,0.750365296803653,30.8498777765224,12.8838626138435,1699000841.78054,0
"22","CO_CANTO_11_13_RJ",0.00091324200913242,0.154703196347032,0.844383561643836,31.6203509368377,17.6720811583669,3430747690.68835,2451899.56047845,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_double-fs39-87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",13,"RJ","CO","CANTO","11",0,0.487191780821918,0.512808219178082,35.8952773242393,18.0533843086552,15112319844.3056,0
"23","CO_CANTO_11_13_SC",0.0618264840182649,0.0380365296803653,0.90013698630137,28.9495691884208,13.51773670312,738632927.10242,388411249.023461,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfar.txt","abs_20.txt","glass_double-fs39-87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",13,"SC","CO","CANTO","11",0.0615296803652968,0.248196347031963,0.69027397260274,32.3229933052659,12.7149643438659,6551854257.96882,5.58793544769287e-08
