"","uh_name","ph_inf","ph_sup","phft","t_max","t_min","cgtr_cooling","cgtr_heating","geometria","azimute","veneziana","componente","absortancia","vidro","open_fac","sombreamento","paf","solo","case","estado","floor","uh_expo","uh_position","ph_inf_ref","ph_sup_ref","phft_ref","t_max_ref","t_min_ref","cgtr_cooling_ref","cgtr_heating_ref"
"12","CO_CANTO_11_10_TO",0,0.191438356164384,0.808561643835617,31.1689432093582,21.8006348299431,3840770803.20394,0,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfiso.txt","abs_20.txt","glass_fs87.txt","afn_openingfactor100.txt","m_shade_120_geom_0_0_0.txt","m_fenes_17_geom_0_0_0.txt","g",10,"TO","CO","CANTO","11",0,0.728264840182648,0.271735159817352,36.23219743107,23.8952644636311,24449922367.6842,7.07223080098629e-08
"13","CO_CANTO_11_11_PR",0.110776255707763,0.00148401826484018,0.887739726027397,26.5542722620271,15.5154190450953,29550695.5733827,0,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfiso.txt","abs_20.txt","glass_fs87.txt","afn_openingfactor100.txt","m_shade_120_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",11,"PR","CO","CANTO","11",0.190593607305936,0.0590410958904111,0.750365296803653,30.8498777765224,12.8838626138435,1699000841.78054,0
"14","CO_CANTO_11_11_RJ",0.000273972602739726,0.161963470319635,0.837762557077626,31.510383502523,17.9304880656127,3488632469.54651,0,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfiso.txt","abs_20.txt","glass_fs87.txt","afn_openingfactor100.txt","m_shade_120_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",11,"RJ","CO","CANTO","11",0,0.487191780821918,0.512808219178082,35.8952773242393,18.0533843086552,15112319844.3056,0
"15","CO_CANTO_11_11_SC",0.0246803652968037,0.0503196347031964,0.925,28.8918734199695,15.4141074669402,998149845.905751,2.00782324100146e-08,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfiso.txt","abs_20.txt","glass_fs87.txt","afn_openingfactor100.txt","m_shade_120_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",11,"SC","CO","CANTO","11",0.0615296803652968,0.248196347031963,0.69027397260274,32.3229933052659,12.7149643438659,6551854257.96882,5.58793544769287e-08
"16","CO_CANTO_11_11_TO",0,0.184200913242009,0.815799086757991,31.5456145985219,20.450569064589,4344090847.53541,2.36832420341671e-08,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfiso.txt","abs_20.txt","glass_fs87.txt","afn_openingfactor100.txt","m_shade_120_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",11,"TO","CO","CANTO","11",0,0.728264840182648,0.271735159817352,36.23219743107,23.8952644636311,24449922367.6842,7.07223080098629e-08
"17","CO_CANTO_11_12_PR",0.0548858447488584,0,0.945114155251141,25.5769321141301,16.6286073177123,0,0,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfiso.txt","abs_20.txt","glass_double-fs39-87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_fenes_17_geom_0_0_0.txt","g",12,"PR","CO","CANTO","11",0.190593607305936,0.0590410958904111,0.750365296803653,30.8498777765224,12.8838626138435,1699000841.78054,0
"18","CO_CANTO_11_12_RJ",0,0.211689497716895,0.788310502283105,30.833273286454,18.3291911065233,3525610976.51687,0,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfiso.txt","abs_20.txt","glass_double-fs39-87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_fenes_17_geom_0_0_0.txt","g",12,"RJ","CO","CANTO","11",0,0.487191780821918,0.512808219178082,35.8952773242393,18.0533843086552,15112319844.3056,0
"19","CO_CANTO_11_12_SC",0.0128082191780822,0.0410045662100457,0.946187214611872,28.5090823425167,16.5478582786482,659147271.676856,0,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfiso.txt","abs_20.txt","glass_double-fs39-87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_fenes_17_geom_0_0_0.txt","g",12,"SC","CO","CANTO","11",0.0615296803652968,0.248196347031963,0.69027397260274,32.3229933052659,12.7149643438659,6551854257.96882,5.58793544769287e-08
"20","CO_CANTO_11_12_TO",0,0.175593607305936,0.824406392694064,30.9330757157193,21.7507734778774,3425315746.76755,0,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfiso.txt","abs_20.txt","glass_double-fs39-87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_fenes_17_geom_0_0_0.txt","g",12,"TO","CO","CANTO","11",0,0.728264840182648,0.271735159817352,36.23219743107,23.8952644636311,24449922367.6842,7.07223080098629e-08
"21","CO_CANTO_11_13_PR",0.107465753424657,0.000228310502283105,0.89230593607306,26.1063183111084,15.8248105907334,4145936.154321,0,"m_g_geom_0_0_0.txt","rotation_000.txt","m_blind_on.txt","m_construction_sfiso.txt","abs_20.txt","glass_double-fs39-87.txt","afn_openingfactor100.txt","m_shade_000_geom_0_0_0.txt","m_wwr_50_geom_0_0_0.txt","g",13,"PR","CO","CANTO","11",0.190593607305936,0.0590410958904111,0.750365296803653,30.8498777765224,12.8838626138435,1699000841.78054,0
