"weather","tbs","zbb","phft","ph_sup","ph_inf"
"BRA_SP_Jose.Bonifacio.868390_INMET",22.91840183,6,46.1,53.6,0.3
"BRA_SP_Lins.868400_INMET",22.82987443,3,47.5,52.5,0.1
"BRA_SP_Ourinhos.868660_INMET",20.91958904,3,59.5,38.4,2.1
"BRA_SP_Piracicaba.868680_INMET",20.91993151,2,64.1,33.7,2.2
"BRA_SP_Presidente.Prudente.837160_INMET",23.77913242,6,43.1,56.2,0.7
"BRA_SP_Rancharia.868640_INMET",21.37754566,6,53.7,44.2,2.1
"BRA_SP_Sao.Carlos.868450_INMET",20.28699772,4,73.1,23.7,3.1
"BRA_SP_Sao.Luis.do.Paraitinga.869120_INMET",19.71097032,3,62.3,30.9,6.8
"BRA_SP_Sao.Paulo.837810_INMET",19.56762557,3,76.9,14.8,8.3
"BRA_SP_Sorocaba.838510_INMET",20.43783105,3,64.9,30.5,4.6
"BRA_SP_Taubate.869110_INMET",20.70429224,3,61.1,34.5,4.4
"BRA_SP_Valparaiso.868380_INMET",23.30864155,6,45.5,54.4,0.1
"BRA_SP_Votuporanga.868150_INMET",23.73343607,6,39.2,60.8,0
"BRA_TO_Araguaina.819000_INMET",25.12849315,7,24.4,75.6,0
"BRA_TO_Araguatins.818210_INMET",27.08803653,8,40.5,59.5,0
"BRA_TO_Dianopolis.866320_INMET",24.21027397,7,28.5,71.5,0
"BRA_TO_Formoso.do.Araguaia.866290_INMET",26.63179224,7,20.8,79.2,0
"BRA_TO_Gurupi.866300_INMET",25.84962329,7,21.8,78.2,0
"BRA_TO_Palmas.866070_INMET",26.82060502,7,23.2,76.8,0
"BRA_TO_Parana.866500_INMET",25.93256849,6,25,75,0
"BRA_TO_Pedro.Afonso.819410_INMET",26.3864726,7,10.4,89.6,0
"BRA_TO_Peixe.866490_INMET",25.91891553,7,16.1,83.9,0
